start_station,end_station,occurrences
BI Nydalen,BI Nydalen,248
Jakob kirke,Kirkeristen,247
Alexander Kiellands Plass,Sjoesiden ved trappen,247
Oslo Hospital,Groenlands torg,246
Anker Hotel,Anker Hotel,246
Filipstadveien,Filipstadveien,246
Bislettgata,Bislettgata,246
Torggata,Alexander Kiellands Plass,245
Frogner plass,Skoeyen,245
Bentsebrugata,Ringnes Park,245
Oslo Hospital,Paléhaven,244
AHO,Sentrum Scene,244
Storo Storsenter,Storo Storsenter,244
Majorstuen,Oscars gate,243
Fred Olsens gate,Aker Brygge,243
Frogner plass,Aker Brygge,243
Linaaes gate,Jess Carlsens gate,242
Lakkegata,Kirkeristen,242
Frogner plass,Norsk Folkemuseum,242
Daelenenggata,Ringnes Park,242
Sofienbergparken nord,Olaf Ryes plass,241
Karenslyst allé,Filipstadveien,241
Helga Helgesens plass,Oslo Hospital,241
Paléhaven,Paléhaven,240
Torggata,Professor Aschehougs plass,240
Schous plass,Aker Brygge,240
Storo Storsenter,Krebs' gate,240
Oslo Hospital,Oslo Hospital,239
Vippetangen vest,Saga Kino,239
Aker Brygge,Helga Helgesens plass,239
Alexander Kiellands Plass,Aker Brygge,238
Karenslyst allé,Skoeyen,238
Skoeyen,Skoeyen,238
OsloMet,Saga Kino,238
Sofienbergparken soer,Helga Helgesens plass,237
Sofienbergparken nordvest,Torggata,237
Alexander Kiellands Plass,Jernbanetorget,237
Sjoesiden ved trappen,Dyvekes bru,236
Olaf Ryes plass,Botanisk Hage soer,236
OsloMet,Aker Brygge,236
Kvaernerbyen,Rostockgata,235
Jens Bjelkes Gate,Brugata,235
Rostockgata,Oslo Hospital,235
Edvard Storms gate,Saga Kino,235
Olaf Ryes plass,Linaaes gate,234
Linaaes gate,Vulkan,234
Munkegata,Munkegata,234
Bislett Stadion,Aker Brygge,234
Jernbanetorget,Aker Brygge,234
Gimle Kino,Karenslyst allé,234
St. Olavs gate,Alexander Kiellands Plass,233
Alexander Kiellands Plass,Sentrum Scene,233
Frogner plass,Majorstuen,233
Kirkegata 15,Kirkegata 15,232
Jens Bjelkes Gate,Sommerfrydhagen,232
Carl Berners plass nord,Toeyen skole,232
Marcus Thranes gate,Bislett Stadion,232
Bislett Stadion,Marcus Thranes gate,232
Edvard Storms gate,Aker Brygge,232
Thomas Heftyes plass,Karenslyst allé,232
Frognerstranda,Dokkveien,231
Sjoesiden ved trappen,Tjuvholmen,231
Jens Bjelkes Gate,Jernbanetorget,230
Kirkeristen,Torggata,230
Botanisk Hage soer,Nordre gate,230
Karenslyst allé,Furulund,229
Akerselvallmenningen,Lakkegata,229
Torggata,Ringnes Park,229
Studentparlamentet,Aker Brygge,229
Jakob kirke,Helga Helgesens plass,229
Aker Brygge,Lille Grensen,229
Aker Brygge,Studentparlamentet,228
Birkelunden,Aker Brygge,228
Landstads gate,Hammersborg Torg,228
Jens Bjelkes Gate,Hausmanns bru,228
Ullevaal sykehus,Ringnes Park,227
Slottsparken Øst,Slottsparken Øst,227
Lindern,Marcus Thranes gate,227
Oslo Hospital,Sjoesiden ved fontenen,226
Parkveien,Saga Kino,226
Daelenenggata,Moelleparken,226
Kirkeveien,Majorstuen,226
Kirkegata 15,Aker Brygge,225
Furulund,Karenslyst allé,225
Jernbanetorget,Bankplassen,225
Alexander Kiellands Plass,AHO,225
Frogner plass,Tjuvholmen,225
Fagerheimgata,Fagerheimgata,225
Storo Storsenter,Bjoelsendumpa,224
Alexander Kiellands Plass,Jess Carlsens gate,224
Stensparken,Bogstadveien,224
Olaf Ryes plass,Toeyen skole,223
Oslo Plaza,Helga Helgesens plass,223
Oslo Hospital,Munkegata,223
Sjoesiden ved trappen,Dokkveien,222
Jenny Braatens Plass,Toeyen skole,222
Filipstadveien,Karenslyst allé,222
Holbergs plass,7. juni-plassen,221
Hammersborg Torg,Saga Kino,221
Rostockgata,Bjoervika,220
Skillebekk,Hydroparken,220
Jess Carlsens gate,Linaaes gate,220
Sofienbergparken nord,Aker Brygge,220
Birkelunden,Birkelunden,220
7. juni-plassen,OsloMet,220
Kvaernerbyen,Gunerius,219
Frognerstranda,Karenslyst allé,219
The Hub,The Hub,219
Thomas Heftyes plass,Thomas Heftyes plass,219
Skraaninga,Olaf Ryes plass,219
Bislett Stadion,Vaar Frelsers gravlund,218
Bislett Stadion,Bislett Stadion,218
Botanisk Hage soer,Toeyenbekken,218
Helga Helgesens plass,Oslo Plaza,218
Nordre gate,Nordre gate,218
Olaf Ryes plass,Alexander Kiellands Plass,217
Vulkan,Torggata,217
Kvaernerbyen,Paléhaven,217
Majorstua skole,Majorstua skole,217
Majorstuen,Stensparken,216
Jernbanetorget,Vulkan,216
Gimle Kino,7. juni-plassen,216
Aker Brygge,Salt,216
AHO,Jernbanetorget,216
Jess Carlsens gate,Vaterlandsparken,216
Jernbanetorget,Alexander Kiellands Plass,216
Jess Carlsens gate,Toeyenbekken,215
Professor Aschehougs plass,Aker Brygge,215
Toeyen skole,Vaterlandsparken,215
Bjoervika,Sukkerbiten,214
Groenlands torg,Helga Helgesens plass,214
Hausmanns gate,Helga Helgesens plass,214
Bislett Stadion,St. Olavs gate,214
Schous plass,Toeyenbekken,214
Skillebekk,Skillebekk,214
Alexander Kiellands Plass,Toeyenbekken,214
Aker Brygge,Paléhaven,214
Marcus Thranes gate,Birkelunden,213
Toeyen skole,Torggata,213
Marcus Thranes gate,Schous plass,213
St. Hanshaugen park vest,Akersgata,213
Birkelunden,Jernbanetorget,212
Ringnes Park,Bjerregaards gate,212
Toeyen skole,Olaf Ryes plass,212
Karenslyst allé,Hoffsveien,212
Helga Helgesens plass,Lakkegata,212
Drammensveien,Skoeyen,212
Tjuvholmen,Skoeyen,211
Schous plass,Helga Helgesens plass,211
Sofienbergparken nordvest,Bankplassen,211
Loerenporten,Hasle Torg,211
Hammersborg Torg,Akersgata,211
Bislettgata,Ringnes Park,210
Sofienberggata,Olaf Ryes plass,210
Oslo Plaza,Sofienbergparken soer,210
Vippetangen vest,Vippetangen vest,210
Jens Bjelkes Gate,Toeyenbekken,209
Birkelunden,Schous plass,209
Galgeberg,Kvaernerbyen,209
Landstads gate,Torggata,209
Olaf Ryes plass,Sofienberggata,209
Lille Grensen,Soendre gate,209
Over Raadhusgata,Aker Brygge,209
Bentsebrugata,Torggata,209
Storo Storsenter,Bjoelsen Studentby,209
Majorstuen,Majorstuen,208
Toeyen skole,Carl Berners plass soer,208
St. Olavs gate,Munkedamsveien,208
Akersgata,Aker Brygge,208
Fredensborg,Fredensborg,207
Fram-gaarden,Tjuvholmen,207
Kontraskjaeret,Sukkerbiten,207
Sommerfrydhagen,Vaterlandsparken,207
Marcus Thranes gate,Torggata,207
Ringnes Park,Carl Berners plass soer,207
Huitfeldts gate,Huitfeldts gate,207
Schous plass,Skraaninga,207
Sommerfrydhagen,Sommerfrydhagen,206
Vippetangen oest,Aker Brygge,206
Bentsebrugata,Birkelunden,206
Aker Brygge,Vaar Frelsers gravlund,206
Munkegata,Sjoesiden ved trappen,206
Jess Carlsens gate,Aker Brygge,206
Vaterlandsparken,Vaterlandsparken,206
Spikersuppa Øst,Aker Brygge,206
Frogner Stadion,Frogner Stadion,206
Tjuvholmen,Norsk Folkemuseum,206
Tjuvholmen,Kirkeristen,205
Sukkerbiten,Langkaia,205
Ringnes Park,Helga Helgesens plass,205
Torshovparken vest,Ringnes Park,204
Lille Schous plass,Sofienbergparken nord,204
The Hub,Jess Carlsens gate,204
Gimle Kino,Skoeyen,204
Frognerveien,Henrik Ibsens gate,204
Skraaninga,Soendre gate,204
