start_station,end_station,occurrences
Ulven Torg,Soendre gate,2
Botanisk Hage soer,John Colletts plass,2
Finnmarksgata,Frogner Stadion,2
Stockfleths gate,Lille Schous plass,2
Suhms gate,Hasle,2
Mandalls gate,Hydroparken,2
Kirkegata 15,Huk 1,2
Blindern studentparkering,Skippergata,2
Moelleparken,Skarpsnoparken,2
Toeyenparken,Blindern studentparkering,2
Mailundveien,Dokkveien,2
Froeen T-bane,Hydroparken,2
Rolf Wickstroems vei,Loerenporten,2
Trondheimsveien,Storo Storsenter,2
Monolittveien,Bankplassen,2
Ensjoeveien,Torshovdalen oest,2
Marienlystparken,Hasle Torg,2
Hoffsveien,Ila,2
Froeen T-bane,Sommerfrydhagen,2
Stockfleths gate,Majorstuveien,2
Diakonhjemmet,Schous plass,2
Meltzers gate,Mandalls gate,2
Thereses gate,Stockfleths gate,2
Torshovparken vest,Kampen park Øst,2
Lille Schous plass,Skovveien,2
Fram-gaarden,Badebakken,2
John Colletts plass,Jordalgata,2
Galgeberg,Georg Morgenstiernes hus,2
Briskeby,Galgeberg,2
Loerenporten,Kjeld Stubs gate,2
Aker Brygge,Grenseveien,2
Lille Schous plass,Sognsveien,2
Galgeberg,Suhms gate,2
Forskningsveien,Frognerstranda,2
Paléhaven,Uelands gate,2
Uranienborgparken,Lilleborgbanen,2
Sinsenveien,Lindern,2
Monolittveien,Drammensveien,2
Gunerius,Badebakken,2
Jernbanetorget,Forskningsveien,2
Tjuvholmen,Idioten,2
Hesselbergs Gate,Badebakken,2
Jenny Braatens Plass,Dronningens gate,2
Majorstuen T-bane,Munkegata,2
Spikersuppa Vest,Kampen park Øst,2
Bjerregaardsgate Øst,Uelands gate,2
Taasen Senter,Hallings gate,2
Botanisk Hage vest,Frogner plass,2
Moelleparken,Volvat,2
Sofienbergparken soer,Oslo Handelsgymnasium,2
Pilestredet Studenthus,Koebenhavngata busstopp,2
St. Hanshaugen park vest,Taasen Senter,2
Frognerbadet,Lilleborgbanen,2
Frognerbadet,Arkaden Nord,2
Parkveien,Loerenveien,2
Tannlegehoeyskolen,Uranienborgparken,2
Frognerbadet,Skippergata,2
Adamstuen,Oslo Hospital,2
Grenseveien,Skoeyen,2
Diakonhjemmet,Lille Schous plass,2
Marienlyst,Over Raadhusgata,2
Stockfleths gate,Skoeyen Stasjon,2
Botanisk Hage soer,Skovveien,2
Schous plass,Drammensveien,2
Stensparken,Grenseveien,2
Fagerheimgata,Økern Portal,2
Mailundveien,Huk 2,2
Vestkanttorvet,Stjerneplassen,2
Stortingstunellen,Olav Kyrres plass,2
Ruseloekkgaarden,Gaustad T-bane,2
Brynseng T-bane,Økernveien,2
Sognsveien,Finnmarksgata,2
Sotahjoernet,Huk 1,2
Hans Nielsen Hauges plass,Gimle Kino,2
Vulkan,Torshovdalen oest,2
Økern Portal,Briskeby,2
Monolittveien,Meltzers gate,2
Skarpsnoparken,Marienlystparken,2
Hesselbergs Gate,Colosseum Kino,2
Bygdoey allé,Studentparlamentet,2
Spikersuppa Øst,Biskop Gunnerus' gate,2
Sinsen T-bane,Colbjoernsens gate,2
Soervest for Slottsparken,Diakonhjemmet,2
Blindern studentparkering,Nybrua holdeplass,2
Universitetsgata,Sinsen T-bane,2
Olav Kyrres plass,Landstads gate,2
Norsk Folkemuseum,Hallénparken,2
Skillebekk,Vaalerenga,2
Skarpsnoparken,Pilestredet,2
Stortingstunellen,Nybrua holdeplass,2
Birkelunden,Furulund,2
Slottsparken Øst,Blindern Studenthus,2
Sjoesiden ved fontenen,Skoeyen,2
Lille Schous plass,Stockfleths gate,2
Kvaernerbyen,Elisenberg,2
Boekkerveien,Skoeyen,2
Daelenenggata,Valkyrieplassen,2
Frognerbadet,Salt,2
Gunerius,Adamstuen,2
Skippergata,Hoffsveien,2
Botanisk Hage soer,Torshovdalen oest,2
Nydalen,Kampen park Øst,2
Suhms gate,Uelands gate,2
Jernbanetorget,Kirkeveien,2
Anker Hotel,Sinsenveien,2
Lindern,Nydalen,2
Schous plass trikkestopp,Loerenveien,2
Friggfeltet,Munkegata,2
Arkaden Soer,Tordenskiolds gate,2
Linaaes gate,Koebenhavngata busstopp,2
Loerenporten,Forskningsveien,2
Meltzers gate,Oslo Plaza,2
Hammersborg Torg,Bygdoey allé,2
Jarlsborgveien,Uelands gate,2
Jakob kirke,Sognsveien,2
Torshovdalen oest,Domus Athletica,2
Spikersuppa Øst,Hasle,2
Holbergs plass,Jordalgata,2
Colosseum Kino,Bak Niels Treschows hus nord,2
Griffenfeldts gate,Volvat,2
Diakonhjemmet,Aker Brygge,2
Munkegata,Uelands gate,2
Sentrum Scene,Georg Morgenstiernes hus,2
Brynseng T-bane,Majorstuen T-bane,2
Blindern studentparkering,Drammensveien,2
Skarpsnoparken,Schives gate,2
Sofienbergparken nord,Torshovparken vest,2
Sofienbergparken soer,Olav Kyrres plass,2
Stockfleths gate,Monolittveien,2
Lakkegata,Ila,2
Koebenhavngata busstopp,Studenterlunden,2
Lodalen busstopp,Bislettgata,2
Koebenhavngata busstopp,7. juni-plassen,2
Diakonhjemmet,Bankplassen,2
Sinsenveien,Frogner Stadion,2
Ensjoe T-bane,Thereses gate,2
Gunerius,Majorstuveien,2
Colosseum Kino,Sofienberggata,2
The Hub,Colosseum Kino,2
Monolittveien,Botanisk hage soer-vest,2
Studentparlamentet,Hasle Torg,2
Arkitekt Rivertz Plass,Rolf Wickstroems vei,2
Ullevaalsalléen,Bjerregaardsgate Øst,2
Kjeld Stubs gate,Botanisk Hage vest,2
Huk 2,Toeyenbekken,2
Huk 1,Lilleborgbanen,2
Volvat,Lakkegata,2
Stortingstunellen,Skippergata,2
Aker Brygge,Griffenfeldts gate,2
Hoffsveien,Stockfleths gate,2
Jarlsborgveien,Marcus Thranes gate,2
Volvat,Vippetangen oest,2
Toeyenparken,Schives gate,2
Huk 1,Toeyen skole,2
Grenseveien,Saga Kino,2
Sofienbergparken nord,Hydroparken,2
Huitfeldts gate,Lilleborgbanen,2
Toeyen skole,Meltzers gate,2
Kvaernerbyen,Skoeyen Stasjon,2
Carl Berners plass soer,Diakonhjemmet,2
Thereses gate,Hydroparken,2
Paléhaven,Over Raadhusgata,2
Hallings gate,Bjoelsendumpa,2
Hausmanns gate,Huk 2,2
HasleLinje,Lodalen busstopp,2
Lodalen busstopp,Holbergs plass,2
Botanisk Hage soer,Lodalen busstopp,2
Olav Kyrres plass,Arendalsgata,2
Karenslyst allé,Diakonhjemmet,2
Oslo Plaza,Domus Athletica,2
Borgenveien,Bjoelsendumpa,2
Rostockgata,Bentsebrugata,2
Sotahjoernet,Hasle,2
Henrik Wergelands allé,Botanisk Hage vest,2
Marienlyst,Forskningsveien,2
Vippetangen oest,Skarpsnoparken,2
Sofienbergparken nord,Frognerbadet,2
Skippergata,Huk 1,2
Colbjoernsens gate,Hans Nielsen Hauges plass,2
Annette Thommessens Plass,Briskeby,2
Briskeby,Sognsveien,2
Mailundveien,Saga Kino,2
Huk 2,Gunerius,2
Biskop Gunnerus' gate,Skovveien,2
Marcus Thranes gate,Olav Kyrres plass,2
Torshovdalen oest,Schives gate,2
Tjuvholmen,Torshovdalen oest,2
Lille Grensen,Boekkerveien,2
Professor Aschehougs plass,Monolittveien,2
Majorstua skole,Toeyen skole,2
Skoeyen,Dyvekes bru,2
Huk 1,Meltzers gate,2
Brynseng T-bane,Majorstua skole,2
Thune,Myraloekka Øst,2
Akersgata,Hedmarksgata,2
Blindern Studenthus,Stjerneplassen,2
Krohgstoetten hospital,Storo Storsenter,2
Salt,Lodalen busstopp,2
Annette Thommessens Plass,Krohgstoetten hospital,2
Majorstuen T-bane,Studenterlunden,2
Finnmarksgata,Nybrua holdeplass,2
The Hub,Idioten,2
Uelands gate,St. Hanshaugen park nord,2
Vestkanttorvet,Galgeberg,2
Sotahjoernet,Meltzers gate,2
Rolf Wickstroems vei,Munkedamsveien,2
Raadhusgata,Lilleborgbanen,2
Sofienbergparken soer,Georg Morgenstiernes hus,2
Dyvekes bru,Volvat,2
Fred Olsens gate,Bygdoey allé,2
Stjerneplassen,Boekkerveien,2
Daelenenggata,Nydalen,2
Økernveien,St. Hanshaugen park vest,2
Fysikkbygningen,Dokkveien,2
Tiedemannsparken,Biskop Gunnerus' gate,2
Soervest for Slottsparken,Ulven Torg,2
Sognsveien,Oslo Plaza,2
Colosseum Kino,Sofienbergparken soer,2
Bogstadveien,Torshovdalen oest,2
Bjerregaardsgate Øst,Finnmarksgata,2
Oslo Hospital,Drammensveien,2
Filipstadveien,Dronningens gate,2
Landstads gate,Majorstuen T-bane,2
Klingenberggata,Stensparken,2
Arkaden Nord,Ensjoe T-bane,2
Landstads gate,Dyvekes bru,2
Saga Kino,Skoeyen Stasjon,2
Drammensveien,Schous plass,2
Arkaden Nord,Hedmarksgata,2
Chr. Michelsens Gate,Nydalen,2
Bak Niels Treschows hus soer,Colosseum Kino,2
Økernveien,Bjoelsendumpa,2
Krohgstoetten hospital,Stensparken,2
Akerselvallmenningen,Hoffsveien,2
Gimle Kino,Hans Nielsen Hauges plass,2
Skippergata,Bislettgata,2
Tjuvholmen,Finnmarksgata,2
Toeyenbekken,Ruseloekkgaarden,2
Norsk Folkemuseum,St. Hanshaugen park vest,2
Frognerstranda,Elgsletta,2
Lakkegata,Frognerbadet,2
Domus Athletica,Skovveien,2
John Colletts plass,Botanisk hage soer-vest,2
Botanisk Hage vest,Bentsebrugata,2
Sjoelyst,Birkelunden,2
Botanisk Hage vest,Pilestredet 63,2
Via Vika,Huk 1,2
Arkaden Soer,Volvat,2
Marienlystparken,Sofienberggata,2
Botanisk hage soer-vest,John Colletts plass,2
Sofienberggata,Bjoelsen moelle,2
Badebakken,Kjeld Stubs gate,2
Torshovparken vest,Meltzers gate,2
Finnmarksgata,Norsk Folkemuseum,2
Enerhaugen,Toeyenparken,2
Grenseveien,Hoffsveien,2
Vaar Frelsers gravlund,Forskningsveien,2
Marienlyst,Bak Niels Treschows hus nord,2
Stockfleths gate,Frognerbadet,2
Hoffsveien,Storo Storsenter,2
Torshovdalen oest,Frognerbadet,2
Torggata,Sjoelyst,2
Badebakken,Sjoelyst,2
Sinsen T-bane,Slottsparken Øst,2
Bjoelsendumpa,Økern Portal,2
Schous plass trikkestopp,Idioten,2
Toeyen skole,Frogner Stadion,2
Marienlystparken,Salt,2
Økern Portal,Valkyrieplassen,2
Toeyenparken,Bjerregaards gate,2
Slottsparken Øst,Torshovparken vest,2
Monolittveien,Hans Nielsen Hauges plass,2
Ulven Torg,Volvat,2
Galgeberg,Huk 2,2
Monolittveien,Sjoesiden ved fontenen,2
Loerenveien,Langkaia,2
St. Hanshaugen park vest,Toeyenparken,2
Ensjoe T-bane,St. Hanshaugen park nord,2
Vippetangen vest,Jarlsborgveien,2
Hydroparken,Toeyenbekken,2
Colletts gate,Loerenveien,2
Nydalen,Botanisk Hage soer,2
Botanisk Hage soer,Bjoelsen moelle,2
Torshovdalen oest,Munkegata,2
Stockfleths gate,Skippergata,2
Paléhaven,Thereses gate,2
Rolf Wickstroems vei,Trondheimsveien,2
Gaustad T-bane,Sofienbergparken nordvest,2
Elisenberg,Botanisk hage soer-vest,2
Salt,Hesselbergs Gate,2
Hausmanns bru,Toeyenparken,2
Tannlegehoeyskolen,Botanisk hage soer-vest,2
Ensjoe T-bane,Uelands gate,2
Sjoelyst,Schous plass,2
Kirkeristen,Lindern,2
Stockfleths gate,Lakkegata,2
Kirkeveien,Boekkerveien,2
Sofienberggata,Briskeby,2
Olav Kyrres plass,Moelleparken,2
Munkedamsveien,Bjoelsendumpa,2
Hausmanns bru,7. juni-plassen,2
Schous plass trikkestopp,Badebakken,2
Norsk Folkemuseum,Bentsebrugata,2
Loerenporten,Domus Athletica,2
Jarlsborgveien,Majorstuen T-bane,2
Ensjoe T-bane,Via Vika,2
Nybrua holdeplass,Stockfleths gate,2
Stensparken,Nybrua holdeplass,2
Enerhaugen,Storo Storsenter,2
Taasen Senter,Trelastgata,2
Botanisk Hage soer,Bogstadveien,2
Studenterlunden,John Colletts plass,2
Botanisk hage soer-vest,Olav Kyrres plass,2
Ensjoeveien,Munkegata,2
Daelenenggata,Tannlegehoeyskolen,2
Tannlegehoeyskolen,Finnmarksgata,2
Griffenfeldts gate,St. Hanshaugen park nord,2
Skoeyen,Daelenenggata,2
Grünerhagen Nord,Thomas Heftyes plass,2
Sofienbergparken nordvest,Sjoelyst,2
Økernveien,Hesselbergs Gate,2
Oslo Plaza,Frognerstranda,2
HasleLinje,Huitfeldts gate,2
Colosseum Kino,Oslo Hospital,2
Krohgstoetten hospital,Huk 2,2
Økern Portal,Huk 1,2
Frognerbadet,Tiedemannsparken,2
Akersgata,Sognsveien,2
Uranienborgparken,Koebenhavngata busstopp,2
Nydalen,Huk 2,2
Bankplassen,Fyrstikktorget,2
Thune,Arkaden Nord,2
Loerenporten,Vippetangen oest,2
Georg Morgenstiernes hus,Huk 1,2
Professor Aschehougs plass,Sinsen T-bane,2
Aker Brygge,Brynseng T-bane,2
Akerselvallmenningen,Sinsenveien,2
Fyrstikktorget,Henrik Wergelands allé,2
Munkedamsveien,Arkitekt Rivertz Plass,2
Vippetangen oest,Adamstuen,2
Galgeberg,Storo Storsenter,2
Klingenberggata,Krebs' gate,2
Botanisk Hage vest,Gimle Kino,2
Lakkegata,Meltzers gate,2
Birkelunden,Schives gate,2
Olaf Ryes plass,HasleLinje,2
Blindern Studenthus,Arkaden Soer,2
Skoeyen Stasjon,St. Hanshaugen park nord,2
Loerenporten,Kontraskjaeret,2
Professor Aschehougs plass,Fyrstikktorget,2
Jarlsborgveien,Olav Kyrres plass,2
Ila,Toeyenparken,2
Nydalen,Frognerbadet,2
Huitfeldts gate,Botanisk Hage vest,2
Taasen Senter,Klingenberggata,2
Monolittveien,Trelastgata,2
Studenterlunden,Stockfleths gate,2
Birkelunden,Tordenskiolds gate,2
Idioten,Kontraskjaeret,2
Dyvekes bru,Huk 1,2
Loerenporten,Salt,2
Sjoelyst,Over Raadhusgata,2
Vippetangen vest,Stensgata,2
Jess Carlsens gate,Colosseum Kino,2
Trondheimsveien,Adamstuen,2
Vippetangen oest,Sognsveien,2
Carl Berners plass soer,Marienlyst,2
Ullevaalsalléen,Jens Bjelkes Gate,2
St. Hanshaugen park nord,Økernveien,2
Tjuvholmen,Koebenhavngata busstopp,2
Henrik Wergelands allé,Jenny Braatens Plass,2
Majorstua skole,Bak Niels Treschows hus soer,2
Hasle,Vippetangen oest,2
Skarpsnoparken,Galgeberg,2
Sognsveien,Botanisk hage soer-vest,2
Lodalen busstopp,Krohgstoetten hospital,2
Bjoelsen Studentby,Huk 1,2
Stortingstunellen,Bislettgata,2
John Colletts plass,Salt,2
Koebenhavngata busstopp,Kampen park Øst,2
Nydalen,Bjoervika,2
Huk 2,Lille Schous plass,2
Ullevaalsveien,Kvaernerveien,2
Arendalsgata,Colbjoernsens gate,2
Dokkveien,Arkitekt Rivertz Plass,2
Idioten,Hesselbergs Gate,2
Stortingstunellen,Lodalen busstopp,2
Bjerregaardsgate Øst,Kirkeveien,2
Sofienberggata,Storo Storsenter,2
Sognsveien,Hydroparken,2
Munkegata,Ullevaalsveien,2
Bislett Stadion,Furulund,2
Majorstua skole,Nydalen,2
Rolf Wickstroems vei,Akerselvallmenningen,2
AHO,Taasen Senter,2
Carl Berners plass soer,7. juni-plassen,2
Toeyenparken,Brynseng T-bane,2
Daelenenggata,Skillebekk,2
Krohgstoetten hospital,7. juni-plassen,2
Vaterlandsparken,Huk 2,2
Nydalen,Sotahjoernet,2
Griffenfeldts gate,Vestkanttorvet,2
Oslo Handelsgymnasium,Brynseng T-bane,2
Botanisk hage soer-vest,Huk 2,2
Universitetsgata,Koebenhavngata busstopp,2
Borgenveien,Birkelunden,2
Adamstuen,Torshovdalen oest,2
Hesselbergs Gate,Domus Athletica,2
Bak Niels Treschows hus nord,Kontraskjaeret,2
Elisenberg,Fyrstikktorget,2
Spikersuppa Øst,Fyrstikktorget,2
Kirkeveien,Mandalls gate,2
Enerhaugen,Georg Morgenstiernes hus,2
Holbergs plass,Kampen park Øst,2
Nordre gate,Tannlegehoeyskolen,2
Huk 1,Skippergata,2
Huk 1,Bankplassen,2
Kvaernerbyen,Tordenskiolds gate,2
Arkaden Soer,Sjoesiden ved fontenen,2
Rolf Wickstroems vei,Oslo Handelsgymnasium,2
Økern Portal,Landstads gate,2
Skoeyen Stasjon,Annette Thommessens Plass,2
Annette Thommessens Plass,Frognerbadet,2
Raadhusgata,St. Hanshaugen park vest,2
Kirkeristen,Tannlegehoeyskolen,2
Nydalen,Koebenhavngata busstopp,2
Lille Schous plass,Norsk Folkemuseum,2
Sjoelyst,Suhms gate,2
Økernveien,Jernbanetorget,2
Spikersuppa Vest,Majorstua skole,2
Fagerheimgata,Tannlegehoeyskolen,2
Pilestredet Studenthus,Norsk Folkemuseum,2
Akersgata,Friggfeltet,2
Universitetsgata,Marienlyst,2
Studentparlamentet,Fysikkbygningen,2
Trelastgata,Oslo Plaza,2
Sotahjoernet,Bjoelsen Studentby,2
Brynseng T-bane,Colosseum Kino,2
Majorstuen T-bane,Arkitekt Rivertz Plass,2
Stockfleths gate,BI Nydalen,2
Kjeld Stubs gate,Sotahjoernet,2
John Colletts plass,Lakkegata,2
Huitfeldts gate,Torshovparken vest,2
Skoeyen Stasjon,Uranienborgveien,2
Pilestredet,Sjoelyst,2
Daelenenggata,Skoeyen,2
Krohgstoetten hospital,Via Vika,2
AHO,Suhms gate,2
Sjoelyst,Krebs' gate,2
Majorstuveien,Lakkegata,2
Taasen Senter,Frognerstranda,2
Jernbanetorget,Thune,2
Kvaernerveien,Raadhusgata,2
Kampen park Øst,Dronningens gate,2
Henrik Ibsens gate,Tiedemannsparken,2
Jens Bjelkes Gate,Vestkanttorvet,2
Chr. Michelsens Gate,Vippetangen oest,2
Raadhusgata,Stavangergata,2
Finnmarksgata,Munkedamsveien,2
Dokkveien,Stockfleths gate,2
Edvard Storms gate,Idioten,2
Volvat,Munkegata,2
Adamstuen,Tiedemannsparken,2
Blindern Studenthus,Botanisk hage soer-vest,2
Badebakken,Raadhusgata,2
Valkyrieplassen,Kvaernerbyen,2
Sommerfrydhagen,Ulven Torg,2
Thereses gate,Hasle Torg,2
Akerselvallmenningen,Idioten,2
Filipstadveien,Sommerfrydhagen,2
Rolf Wickstroems vei,Stensparken,2
Studentparlamentet,Frognerbadet,2
Saga Kino,BI Nydalen,2
Pilestredet,Fysikkbygningen,2
Oslo Plaza,Majorstua skole,2
Fram-gaarden,Idioten,2
Domus Athletica,Soendre gate,2
Pilestredet,Uelands gate,2
Bjoelsen moelle,Majorstuveien,2
Karenslyst allé,Enerhaugen,2
Colosseum Kino,Gunerius,2
Loerenporten,Uelands gate,2
Hasle,Hausmanns bru,2
Helga Helgesens plass,Olav Kyrres plass,2
Fyrstikktorget,Oscars gate,2
Henrik Ibsens gate,Ensjoe T-bane,2
Sjoesiden ved trappen,Nydalen,2
Paléhaven,Valkyrieplassen,2
Finnmarksgata,Landstads gate,2
Monolittveien,Bjoervika,2
Munkegata,Stockfleths gate,2
Rostockgata,Grenseveien,2
Suhms gate,Schives gate,2
Fred Olsens gate,Ullevaalsveien,2
Vulkan,Grenseveien,2
Rolf Wickstroems vei,Carl Berners plass soer,2
Chr. Michelsens Gate,Frogner Stadion,2
Colosseum Kino,Dyvekes bru,2
Chr. Michelsens Gate,Kjeld Stubs gate,2
Loerenporten,Elgsletta,2
Torggata,Ensjoeveien,2
Kirkeveien,Kirkegata 15,2
Skippergata,Boekkerveien,2
Lille Schous plass,Frognerbadet,2
Nordre gate,Rolf Wickstroems vei,2
Majorstuveien,Dronningens gate,2
Hallings gate,Borgenveien,2
Bjoelsen moelle,Taasen Senter,2
Froeen T-bane,Sjoesiden ved fontenen,2
Bankplassen,Ullevaal sykehus,2
Forskningsveien,Skippergata,2
Hoffsveien,Gunerius,2
Frogner plass,Rolf Wickstroems vei,2
Biskop Gunnerus' gate,Universitetsgata,2
Ensjoe T-bane,Majorstuen,2
Nordre gate,Økernveien,2
Dyvekes bru,Huitfeldts gate,2
Bogstadveien,Diakonhjemmet,2
Studenterlunden,Lodalen busstopp,2
Sommerfrydhagen,Huk 1,2
Frogner Stadion,Kontraskjaeret,2
Hallings gate,Huk 1,2
Griffenfeldts gate,Torshovparken vest,2
Daelenenggata,Frognerstranda,2
Toeyenparken,Frogner Stadion,2
Ulven Torg,Mailundveien,2
Boekkerveien,Grünerhagen Nord,2
OsloMet,Lodalen busstopp,2
Hausmanns bru,Adamstuen,2
Oslo Plaza,HasleLinje,2
Olav Kyrres plass,Jens Bjelkes Gate,2
Forskningsveien,Schives gate,2
Furulund,Olaf Ryes plass,2
Økern Portal,Bjoelsen moelle,2
Toeyenbekken,Bjoelsendumpa,2
Adamstuen,Fred Olsens gate,2
Krohgstoetten hospital,Økernveien,2
Stockfleths gate,Pilestredet 63,2
Ulven Torg,Gaustad T-bane,2
Tannlegehoeyskolen,Bjoelsendumpa,2
Mailundveien,Loerenveien,2
Skillebekk,Pilestredet,2
Frognerstranda,Idioten,2
Sofienberggata,Pilestredet 63,2
Frogner plass,Mandalls gate,2
Trelastgata,Colbjoernsens gate,2
Toeyenparken,Thomas Heftyes plass,2
Sofienbergparken nord,Majorstuveien,2
Ulven Torg,Akersgata,2
Hesselbergs Gate,Thereses gate,2
Hasle,Filipstadveien,2
Bislett Stadion,Vaalerenga,2
Frognerstranda,Galgeberg,2
Huk 2,Hans Nielsen Hauges plass,2
Groenlands torg,Olav Kyrres plass,2
Ullevaalsveien,Pilestredet Studenthus,2
Diakonhjemmet,Suhms gate,2
Koebenhavngata busstopp,Tannlegehoeyskolen,2
Diakonhjemmet,Spikersuppa Øst,2
Oslo Hospital,Økern Portal,2
Pilestredet Studenthus,Nybrua holdeplass,2
Spikersuppa Vest,Colletts gate,2
Fysikkbygningen,Filipstadveien,2
Sofienberggata,Skillebekk,2
Studentparlamentet,Chr. Michelsens Gate,2
Krebs' gate,Langkaia,2
Elgsletta,Frognerbadet,2
Lodalen busstopp,Borgenveien,2
Rolf Wickstroems vei,Kirkeveien,2
Mailundveien,Studenterlunden,2
Thereses gate,Lilleborgbanen,2
Stortingstunellen,Nordre gate,2
Huk 1,Groenlands torg,2
Skovveien,Ullevaal sykehus,2
Jernbanetorget,John Colletts plass,2
Pilestredet Studenthus,Forskningsveien,2
Kirkegata 15,Frognerbadet,2
Ensjoe T-bane,Forskningsveien,2
Brugata,Drammensveien,2
Friggfeltet,Klingenberggata,2
Kirkeristen,Hasle,2
Suhms gate,Diakonhjemmet,2
Jarlsborgveien,Edvard Storms gate,2
Idioten,Groenlands torg,2
Thune,Krohgstoetten hospital,2
Huk 1,Marienlyst,2
Sommerfrydhagen,St. Hanshaugen park soer,2
Rolf Wickstroems vei,Ensjoe T-bane,2
Stockfleths gate,Henrik Wergelands allé,2
Bjoelsen Studentby,Ensjoeveien,2
Stockfleths gate,Frognerstranda,2
Frognerveien,Toeyen skole,2
Monolittveien,Studentparlamentet,2
Oslo Plaza,Biskop Gunnerus' gate,2
Boekkerveien,AHO,2
Hasle,Huitfeldts gate,2
St. Hanshaugen park nord,Sinsen T-bane,2
Via Vika,Botanisk Hage soer,2
OsloMet,Sotahjoernet,2
Akerselvallmenningen,Loerenporten,2
Krohgstoetten hospital,Thune,2
Schous plass trikkestopp,Boekkerveien,2
Sognsveien,Klingenberggata,2
Arendalsgata,Rolf Wickstroems vei,2
Bak Niels Treschows hus soer,Froeen T-bane,2
Frogner plass,Sotahjoernet,2
Colbjoernsens gate,Oslo Plaza,2
Frognerstranda,Ulven Torg,2
Sommerfrydhagen,Sjoelyst,2
Ensjoeveien,Loerenporten,2
Bak Niels Treschows hus soer,Klingenberggata,2
Ullevaalsveien,Jarlsborgveien,2
Kirkeveien,Hasle,2
Carl Berners plass soer,Skoeyen,2
Uelands gate,Bjoelsen moelle,2
Kvaernerveien,Jordalgata,2
Kontraskjaeret,Pilestredet 63,2
Norsk Folkemuseum,Bak Niels Treschows hus soer,2
Brynseng T-bane,Gunerius,2
Finnmarksgata,Stortingstunellen,2
Soervest for Slottsparken,Skoeyen,2
Marienlystparken,Økern Portal,2
Karenslyst allé,Stjerneplassen,2
Sjoesiden ved fontenen,Colosseum Kino,2
Fram-gaarden,Daelenenggata,2
Ila,Ensjoe T-bane,2
Vaalerenga,Hasle,2
Skoeyen,Georg Morgenstiernes hus,2
Studenterlunden,Colosseum Kino,2
Stockfleths gate,Stortingstunellen,2
Klingenberggata,Hesselbergs Gate,2
Edvard Storms gate,Arendalsgata,2
Taasen Senter,Krohgstoetten hospital,2
Universitetsgata,Sinsenveien,2
Vestkanttorvet,Hans Nielsen Hauges plass,2
Økernveien,Lille Grensen,2
BI Nydalen,Vestkanttorvet,2
Carl Berners plass soer,Bak Niels Treschows hus soer,2
Hallings gate,Torshovparken vest,2
Brugata,Krebs' gate,2
Sentrum Scene,Tannlegehoeyskolen,2
Nydalen,Schous plass trikkestopp,2
Galgeberg,Lindern,2
Vippetangen vest,Kirkeveien,2
Majorstuen T-bane,Sofienbergparken nordvest,2
Colletts gate,Jordalgata,2
Hoffsveien,Hallénparken,2
Sinsenveien,Drammensveien,2
Hausmanns gate,Grünerhagen Nord,2
Grünerhagen Nord,Suhms gate,2
Marienlystparken,Sommerfrydhagen,2
Fredensborg,Monolittveien,2
Loerenporten,Studentparlamentet,2
Nybrua holdeplass,Thune,2
Huk 1,Toeyenbekken,2
Daelenenggata,Skippergata,2
Daelenenggata,Bjoelsendumpa,2
Bjerregaards gate,Bak Niels Treschows hus nord,2
Frognerstranda,Arkitekt Rivertz Plass,2
Slottsparken Øst,Bjoelsendumpa,2
Pilestredet Studenthus,Sofienberggata,2
Dronningens gate,Klingenberggata,2
Uranienborgveien,Blindern Studenthus,2
HasleLinje,Colletts gate,2
Sofienbergparken soer,Suhms gate,2
Hallénparken,Vaalerenga,2
Frogner Stadion,Vaalerenga,2
Grünerhagen Nord,Kampen park Øst,2
Schous plass trikkestopp,Thereses gate,2
Henrik Wergelands allé,Ila,2
Sentrum Scene,Økern Portal,2
Karenslyst allé,Georg Morgenstiernes hus,2
Fredensborg,Kirkeveien,2
Hallings gate,Hoffsveien,2
Brugata,Sinsenveien,2
Olav Kyrres plass,Gunerius,2
Dronningens gate,Briskeby,2
Paléhaven,Sagene bussholdeplass,2
Fredensborg,Taasen Senter,2
HasleLinje,Stensparken,2
Majorstuen,Hedmarksgata,2
Colbjoernsens gate,Ullevaalsalléen,2
Mandalls gate,Ensjoeveien,2
Jakob kirke,Sjoelyst,2
Bak Niels Treschows hus soer,Dyvekes bru,2
Jernbanetorget,Colosseum Kino,2
Tordenskiolds gate,Frogner Stadion,2
Bjerregaardsgate Øst,Nydalen,2
Økernveien,Hans Nielsen Hauges plass,2
Helga Helgesens plass,Økernveien,2
Lindern,Økern Portal,2
Oscars gate,Enerhaugen,2
Dronningens gate,Monolittveien,2
Bjoelsen Studentby,Borgenveien,2
Kampen park Øst,Nybrua holdeplass,2
Frogner plass,Trondheimsveien,2
Salt,Moelleparken,2
Ulven Torg,Boekkerveien,2
Tordenskiolds gate,Mailundveien,2
Parkveien,Bjoelsen moelle,2
Kjeld Stubs gate,Fagerheimgata,2
Bislett Stadion,Jarlsborgveien,2
Gaustad T-bane,Universitetsgata,2
Bjoelsen moelle,Universitetsgata,2
St. Hanshaugen park nord,Sommerfrydhagen,2
Hasle,Huk 1,2
Hausmanns gate,Thereses gate,2
Loerenveien,Stensgata,2
Filipstadveien,Botanisk Hage vest,2
Pilestredet Studenthus,Chr. Michelsens Gate,2
Hasle,Holbergs plass,2
Lodalen busstopp,Koebenhavngata busstopp,2
